dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.041010934859514236,0.7928235530853271,0.7857210636138916,0,22,,,
0.033100347965955734,0.8191606402397156,0.8130924701690674,1,45,,,
0.031118258833885193,0.8255704045295715,0.8194873332977295,2,68,,,
0.030445920303463936,0.8247299194335938,0.818982720375061,3,91,,,
0.03027339279651642,0.8268656134605408,0.8209391236305237,4,114,,,
0.030362892895936966,0.8255345225334167,0.8199065327644348,5,137,,,
0.03051798790693283,0.8249266147613525,0.8190624117851257,6,160,,,
0.030895138159394264,0.8242475986480713,0.8186482191085815,7,183,,,
0.031115198507905006,0.8239129185676575,0.818162739276886,8,206,,,
,,,9,207,0.031115198507905006,0.8239129185676575,0.818162739276886
,,,9,207,0.03601500019431114,0.7866584658622742,0.7707623839378357
