dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.03345029801130295,0.8429487943649292,0.843525230884552,0,1319,,,
0.033591244369745255,0.8384183049201965,0.8406737446784973,1,2639,,,
0.03559714928269386,0.8373254537582397,0.8403642773628235,2,3959,,,
0.03635742515325546,0.8378124833106995,0.8413253426551819,3,5279,,,
0.034581784158945084,0.8419645428657532,0.8443660736083984,4,6599,,,
,,,5,6600,0.03345029801130295,0.8429487943649292,0.843525230884552
,,,5,6600,0.0425238274037838,0.7878162860870361,0.7849940657615662
