dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.0966443195939064,0.6111520528793335,0.6185082793235779,0,22,,,
0.07710787653923035,0.634623110294342,0.6347296237945557,1,45,,,
0.06619571894407272,0.6472442746162415,0.6465670466423035,2,68,,,
0.06038112938404083,0.6559673547744751,0.654644787311554,3,91,,,
0.05695424973964691,0.6630409359931946,0.6611173152923584,4,114,,,
0.054686348885297775,0.6688836216926575,0.6669933795928955,5,137,,,
0.053224749863147736,0.6733848452568054,0.6713600158691406,6,160,,,
0.05219348892569542,0.6766663193702698,0.6744545698165894,7,183,,,
0.05135180056095123,0.6796150207519531,0.6773545742034912,8,206,,,
0.05069964751601219,0.6815304756164551,0.6794595122337341,9,229,,,
,,,10,230,0.05069964751601219,0.6815304756164551,0.6794595122337341
,,,10,230,0.06197204068303108,0.602737307548523,0.595176637172699
