dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04045933485031128,0.7805847525596619,0.7768957018852234,0,22,,,
0.03257300332188606,0.8174310922622681,0.813981831073761,1,45,,,
0.029830552637577057,0.828410804271698,0.825605034828186,2,68,,,
0.02978159487247467,0.8280785083770752,0.8255539536476135,3,91,,,
0.02916727215051651,0.8297585248947144,0.8273060917854309,4,114,,,
0.029683994129300117,0.8276272416114807,0.8254560232162476,5,137,,,
0.029449768364429474,0.8290702104568481,0.8267409205436707,6,160,,,
0.029839958995580673,0.827661395072937,0.8252869248390198,7,183,,,
0.029922638088464737,0.8268563151359558,0.8246435523033142,8,206,,,
,,,9,207,0.029922638088464737,0.8268563151359558,0.8246435523033142
,,,9,207,0.036315787583589554,0.7853192090988159,0.7730196118354797
