dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.006190294399857521,0.9472905993461609,0.8980605006217957,0,1319,,,
0.005898602306842804,0.9499109387397766,0.9063475131988525,1,2639,,,
0.006146043073385954,0.9492385983467102,0.908143937587738,2,3959,,,
0.00621423963457346,0.9483670592308044,0.9082599878311157,3,5279,,,
0.006089356262236834,0.9488130807876587,0.9094475507736206,4,6599,,,
0.006310080178081989,0.948580801486969,0.9110039472579956,5,7919,,,
,,,6,7920,0.005898602306842804,0.9499109387397766,0.9063475131988525
,,,6,7920,0.039878103882074356,0.7895810604095459,0.7843526601791382
