dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.00659807026386261,0.9432737827301025,0.8916224837303162,0,329,,,
0.0060864766128361225,0.9485800862312317,0.9002624154090881,1,659,,,
0.005864146631211042,0.9500198364257812,0.9035688042640686,2,989,,,
0.00574077945202589,0.9504258632659912,0.9075028896331787,3,1319,,,
0.005843447986990213,0.949723482131958,0.9068127870559692,4,1649,,,
0.0058017815463244915,0.950432538986206,0.9089041948318481,5,1979,,,
0.005952860228717327,0.9496553540229797,0.9076520800590515,6,2309,,,
0.005847498774528503,0.9503854513168335,0.9088020324707031,7,2639,,,
0.005858865100890398,0.9500871896743774,0.911144495010376,8,2969,,,
0.0059523070231080055,0.9498504996299744,0.9094780683517456,9,3299,,,
,,,10,3300,0.0058017815463244915,0.950432538986206,0.9089041948318481
,,,10,3300,0.037436842918395996,0.8058174848556519,0.8017733097076416
