dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.006351848132908344,0.9458288550376892,0.8901971578598022,0,329,,,
0.005941091105341911,0.9495929479598999,0.8972743153572083,1,659,,,
0.005861240904778242,0.9495044350624084,0.9006319046020508,2,989,,,
0.005813919007778168,0.9500936269760132,0.9023771286010742,3,1319,,,
0.0057891723699867725,0.9505078792572021,0.9033732414245605,4,1649,,,
0.005840187426656485,0.9499539136886597,0.9048654437065125,5,1979,,,
0.005938609130680561,0.9496548771858215,0.9044309258460999,6,2309,,,
0.005939200520515442,0.9496892690658569,0.9047852754592896,7,2639,,,
0.005887859500944614,0.9499010443687439,0.9057320356369019,8,2969,,,
,,,9,2970,0.0057891723699867725,0.9505078792572021,0.9033732414245605
,,,9,2970,0.03536193445324898,0.8112149834632874,0.8067614436149597
