dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.03295173496007919,0.8312356472015381,0.8319757580757141,0,164,,,
0.030533110722899437,0.8371427655220032,0.8364096879959106,1,329,,,
0.031987469643354416,0.8380007743835449,0.8382543325424194,2,494,,,
0.03220630809664726,0.8388499617576599,0.8392985463142395,3,659,,,
0.03231256455183029,0.8388116955757141,0.8393910527229309,4,824,,,
0.03177386894822121,0.8387243747711182,0.8387410640716553,5,989,,,
0.03210221603512764,0.840573251247406,0.8409709930419922,6,1154,,,
0.03223532438278198,0.8403815031051636,0.8399251103401184,7,1319,,,
0.03264683857560158,0.8399088382720947,0.8401633501052856,8,1484,,,
0.032712724059820175,0.8433439135551453,0.8436563611030579,9,1649,,,
,,,10,1650,0.032712724059820175,0.8433439135551453,0.8436563611030579
,,,10,1650,0.03830409049987793,0.7971187233924866,0.7902668714523315
