dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04297594726085663,0.7892737984657288,0.7827551364898682,0,22,,,
0.03643156215548515,0.8157880902290344,0.8104208707809448,1,45,,,
0.03312025964260101,0.8266226649284363,0.8223697543144226,2,68,,,
0.032415345311164856,0.8299415111541748,0.826040506362915,3,91,,,
0.03202761709690094,0.831449568271637,0.8282679319381714,4,114,,,
0.031628359109163284,0.8311747908592224,0.8277936577796936,5,137,,,
0.03213301673531532,0.8300251960754395,0.8277279734611511,6,160,,,
0.03220892325043678,0.8304603695869446,0.8277175426483154,7,183,,,
0.03176674619317055,0.8310727477073669,0.828650176525116,8,206,,,
,,,9,207,0.03176674619317055,0.8310727477073669,0.828650176525116
,,,9,207,0.03421882912516594,0.8061297535896301,0.7932701706886292
