dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04328629747033119,0.788372278213501,0.7810313701629639,0,22,,,
0.03545480594038963,0.8177717328071594,0.8114374876022339,1,45,,,
0.03210006654262543,0.8264009356498718,0.821666955947876,2,68,,,
0.032059844583272934,0.8286231756210327,0.823961615562439,3,91,,,
0.03152694180607796,0.8304923176765442,0.8267303705215454,4,114,,,
0.03134375810623169,0.8327414393424988,0.8287486433982849,5,137,,,
0.03196064010262489,0.8315058946609497,0.8280318379402161,6,160,,,
0.03158377483487129,0.8317425847053528,0.8283507227897644,7,183,,,
0.031882841140031815,0.8321837186813354,0.8291416168212891,8,206,,,
0.03201402351260185,0.8310829401016235,0.82814621925354,9,229,,,
,,,10,230,0.03201402351260185,0.8310829401016235,0.82814621925354
,,,10,230,0.034094396978616714,0.8078127503395081,0.7949631214141846
