dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04036296159029007,0.7882697582244873,0.7809523344039917,0,22,,,
0.03291004151105881,0.817348837852478,0.8116572499275208,1,45,,,
0.030783062800765038,0.8245285153388977,0.8202091455459595,2,68,,,
0.029822034761309624,0.8282529711723328,0.8235664367675781,3,91,,,
0.030311286449432373,0.8263501524925232,0.8217831254005432,4,114,,,
0.03013593703508377,0.8262930512428284,0.8213614225387573,5,137,,,
0.030322430655360222,0.8254452347755432,0.8208443522453308,6,160,,,
0.030362704768776894,0.8260264992713928,0.8212710022926331,7,183,,,
,,,8,184,0.030362704768776894,0.8260264992713928,0.8212710022926331
,,,8,184,0.03639392927289009,0.7841415405273438,0.7713168859481812
