dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.02884494513273239,0.8359835147857666,0.8321885466575623,0,22,,,
0.027112435549497604,0.8488653898239136,0.845547080039978,1,45,,,
0.026970097795128822,0.8468683958053589,0.8433963656425476,2,68,,,
0.026916496455669403,0.8482491374015808,0.8447853922843933,3,91,,,
0.026934878900647163,0.8483716249465942,0.8449216485023499,4,114,,,
0.027005359530448914,0.8476075530052185,0.8439204096794128,5,137,,,
,,,6,138,0.027112435549497604,0.8488653898239136,0.845547080039978
,,,6,138,0.03250615671277046,0.8154850006103516,0.8065452575683594
