dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04097255691885948,0.7867949604988098,0.779859721660614,0,22,,,
0.0328078493475914,0.8165977001190186,0.8106196522712708,1,45,,,
0.030491264536976814,0.8269712328910828,0.8218978643417358,2,68,,,
0.030153226107358932,0.8280274271965027,0.8230323195457458,3,91,,,
0.030116798356175423,0.8271061182022095,0.8224325180053711,4,114,,,
0.030250145122408867,0.8258154392242432,0.8210955858230591,5,137,,,
0.030130067840218544,0.8260647654533386,0.821509063243866,6,160,,,
0.03032059036195278,0.8257885575294495,0.8211362957954407,7,183,,,
,,,8,184,0.03032059036195278,0.8257885575294495,0.8211362957954407
,,,8,184,0.03687053546309471,0.7802116870880127,0.7679970264434814
