dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.02909260056912899,0.8375569581985474,0.8331851363182068,0,22,,,
0.02667018212378025,0.8475285768508911,0.8440236449241638,1,45,,,
0.0269062127918005,0.84742271900177,0.8427488207817078,2,68,,,
0.0266992449760437,0.8468307256698608,0.8429259061813354,3,91,,,
0.026656419038772583,0.8470039367675781,0.8426898121833801,4,114,,,
0.0268475953489542,0.8471224308013916,0.8427896499633789,5,137,,,
,,,6,138,0.02667018212378025,0.8475285768508911,0.8440236449241638
,,,6,138,0.033342279493808746,0.8082968592643738,0.8000892996788025
