dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.11894889920949936,0.7246314287185669,0.7283702492713928,0,307,,,
0.11641305685043335,0.7290863394737244,0.7318897843360901,1,615,,,
0.11229099333286285,0.7337191104888916,0.7355418801307678,2,923,,,
0.11627696454524994,0.7261233329772949,0.7290583252906799,3,1231,,,
0.11505859345197678,0.7348507046699524,0.736717939376831,4,1539,,,
0.11645925790071487,0.7333536148071289,0.7354445457458496,5,1847,,,
0.11494644731283188,0.7351921200752258,0.7370856404304504,6,2155,,,
0.11214320361614227,0.7372389435768127,0.7382383346557617,7,2463,,,
0.11650016903877258,0.7296980619430542,0.7324041724205017,8,2771,,,
0.11820422112941742,0.7287459969520569,0.731166422367096,9,3079,,,
0.11427107453346252,0.7309778332710266,0.7328801155090332,10,3387,,,
0.11610656976699829,0.7331371307373047,0.7350009679794312,11,3695,,,
,,,12,3696,0.11214320361614227,0.7372389435768127,0.7382383346557617
,,,12,3696,0.1225733757019043,0.6927928328514099,0.6753580570220947
